Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0603,2,160pF,
"C10, C13, C15",C_0603,3,4.7uF,
"C11, C12, C14, C18, C7, C9",C_0603,6,100nF,
"C16, C17, C3, C4",C_0603,4,22pF,
C19,C_0603,1,33pF,
"C5, C6",C_0603,2,220pF,
C8,C_0603,1,1nF,
D1,LED_1206_Rev_Square,1,G,C157737
D2,LED_1206_Rev_Square,1,A,C125108
D3,LED_1206_Rev_Square,1,R,C125107
"D4, D5, D6",SOT-363_SC-70-6,3,BAV99S,
J3,PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Left,1,Conn,C780063
"L1, L2",1008,2,560nH,C75639
"R1, R3",R_0603_,2,0R,
"R10, R12, R13, R14, R8, R9",R_0603,6,100R,
"R11, R15, R6",R_0603,3,10K,
R2,R_0805_,1,0R,
R4,R_0603,1,2k7 1%,C114612
R5,R_0603,1,1k 1%,C22548
R7,R_0603,1,20K,
SW1,ESE13,1,ESE13V01D,
U1,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,1,PN532,
Y1,Crystal-3.2x2.5,1,27.12MHz,C70591
